	stressed	pos	pros_repr	pros	file	vowel	nr_syll	start	end	nucl_dur	syll_dur	rms	int_peak	trajectory	f0_max	f0_mean	intersyllab	f0_meanST	f0_max_styl	spect_b1	spect_b2	spect_b3	nucl_dur_norm	syll_dur_norm	nucl_dur_vnorm	rms_norm	int_peak_norm	f0_max_norm	f0_mean_norm	f0_max_styl_norm	f0_meanST_norm	nucl_dur_left	nucl_dur_v_left	syll_dur_left	int_peak_left	rms_left	spect_b1_left	spect_b2_left	spect_b3_left	f0_max_left	f0_mean_left	f0_max_styl_left	f0_meanST_left	nucl_dur_right	nucl_dur_v_right	syll_dur_right	int_peak_right	rms_right	spect_b1_right	spect_b2_right	spect_b3_right	f0_max_right	f0_mean_right	f0_max_styl_right	f0_meanST_right
146	0	0	0	1	S4_LOC_4_1_entrepreneur_1	Q	4	0.1540589569160997	0.2440589569160998	0.09000000000000011	0.16	0.018606267600752152	60.6	0.0	236.0	230.0	0.0	94.15	231.0	54.540450293672585	53.12295387383585	41.58478443684109	0.8000000000000003	0.7619047619047619	0.6107638535628208	0.004764766688418343	1.426004721170088	17.0	11.0	12.0	0.8500000000000085	-0.19999999999999973	-0.3811674488712292	-0.23809523809523814	2.1500000000000004	0.004764766688418343	6.109904633119733	4.394986381287353	5.14928153111601	7.75	10.5	6.0	0.8375000000000057	0.044444444444445175	-0.6067903114950313	-0.33333333333333326	2.1000000000000014	0.006672413994852654	11.01636629319973	6.645998144554831	15.332333167082318	-9.0	-10.0	-11.0	-0.769999999999996
147	0	1	1	1	S4_LOC_4_1_entrepreneur_1	V	4	0.4240589569160998	0.5090589569160998	0.08500000000000002	0.23	0.011933853605899498	58.5	0.0	245.0	240.0	0.87	94.92	242.0	43.524084000472854	46.476955729281016	26.252451269758772	0.7555555555555551	1.0952380952380951	1.217554165057852	-0.0019076473064343104	-0.6739952788299135	26.0	21.0	23.0	1.6200000000000045	-0.044444444444445175	0.6067903114950313	0.33333333333333326	-2.1000000000000014	-0.006672413994852654	-11.01636629319973	-6.645998144554831	-15.332333167082318	9.0	10.0	11.0	0.769999999999996	0.5333333333333329	0.859449998864366	0.5238095238095237	0.3999999999999986	-0.0024147277872124413	-3.158301780067873	-0.4784574862998454	-13.336107839148319	25.0	25.0	27.0	1.9000000000000057
148	0	2	2	1	S4_LOC_4_1_entrepreneur_1	V	4	0.6140589569160997	0.6390589569160997	0.025000000000000022	0.12	0.01434858139311194	58.1	0.0	220.0	215.0	-1.97	93.02	215.0	46.68238578054073	46.95541321558086	39.58855910890709	0.2222222222222222	0.5714285714285714	0.3581041661934861	0.0005070804807781309	-1.073995278829912	1.0	-4.0	-4.0	-0.28000000000000114	-0.5333333333333329	-0.859449998864366	-0.5238095238095237	-0.3999999999999986	0.0024147277872124413	3.158301780067873	0.4784574862998454	13.336107839148319	-25.0	-25.0	-27.0	-1.9000000000000057	-2.0	-1.4231988587285551	-1.0	1.5	0.0038712803435402964	-2.2928767869845146	-1.4011339359153752	1.2723423015137314	8.0	22.0	3.0	1.8599999999999994
149	1	3	3	1	S4_LOC_4_1_entrepreneur_1	3`	4	0.7140589569160998	0.9640589569161	0.2500000000000002	0.33	0.010477301049571643	56.6	4.79	212.0	193.0	-0.83	91.16	212.0	48.97526256752524	48.35654715149624	38.31621680739336	2.2222222222222223	1.5714285714285714	1.7813030249220412	-0.0033641998627621655	-2.573995278829912	-7.0	-26.0	-7.0	-2.1400000000000006	2.0	1.4231988587285551	1.0	-1.5	-0.0038712803435402964	2.2928767869845146	1.4011339359153752	-1.2723423015137314	-8.0	-22.0	-3.0	-1.8599999999999994	1.2222222222222223	0.7893717224879911	0.5714285714285714	-1.8499999999999996	-0.003364199862762165	0.5447169069723898	-0.3714203410522572	1.8807139016682797	-16.25	-26.5	-13.0	-2.1525000000000034
150	1	-1	-1	0	S3_LOC_4_4_helicopter_1	E	4	0.12	0.15	0.03	0.13	0.034466159637277484	65.1535583091216	0.0	121.85314913523541	120.61272146356085	0.0	82.97013099659172	0.0	59.96955346662677	51.416474534484536	41.8974211130533	0.45283018867924524	0.6753246753246753	0.443246754584728	0.006079428557939411	0.9798963073223774	17.853149135235412	16.612721463560845	-104.0	2.5701309965917147	-0.5471698113207546	-0.40144783439250703	-0.3246753246753247	1.0744921444737816	0.006079428557939413	3.5400092632668105	-1.4033888845322338	-3.3296699803930423	68.88986185142656	68.70954109767064	-21.5	42.882598247443795	0.07547169811320803	-0.008964372339580917	-0.15584415584415579	-2.846441690878393	-0.010692104163402195	-4.301696378286714	-3.3928118195940655	-11.875644191506538	31.853149135235412	33.612721463560845	-86.0	5.590130996591725
151	0	1	1	0	S3_LOC_4_4_helicopter_1	I	4	0.2512244897959183	0.2762244897959183	0.024999999999999967	0.16	0.04515826380067968	68.0	0.0	90.0	87.0	-5.75	77.38	86.0	64.27124984491348	54.8092863540786	53.773065304559836	0.3773584905660372	0.8311688311688311	0.4522111269243089	0.016771532721341607	3.8263379982007706	-14.0	-17.0	-18.0	-3.0200000000000102	-0.07547169811320803	0.008964372339580917	0.15584415584415579	2.846441690878393	0.010692104163402195	4.301696378286714	3.3928118195940655	11.875644191506538	-31.853149135235412	-33.612721463560845	86.0	-5.590130996591725	-1.132075471698114	-0.7001735024395037	-0.36363636363636387	4.0177170984648285	0.02266342265648531	7.139421164056735	-1.1571506860791914	6.134584291040596	90.0	87.0	86.0	77.38
152	0	-1	-1	0	S3_LOC_4_4_helicopter_1	Q	4	0.41	0.51	0.10000000000000003	0.23000000000000004	0.02249484114419437	63.98228290153517	0.0	0.0	0.0	0.0	0.0	0.0	57.13182868085675	55.96643704015779	47.63848101351924	1.5094339622641513	1.194805194805195	1.1523846293638127	-0.005891889935143703	-0.1913791002640579	-104.0	-104.0	-104.0	-80.4	1.132075471698114	0.7001735024395037	0.36363636363636387	-4.0177170984648285	-0.02266342265648531	-7.139421164056735	1.1571506860791914	-6.134584291040596	-90.0	-87.0	-86.0	-77.38	-0.1509433962264144	-0.17855121567227794	-0.10389610389610371	4.801859453600649	0.011067181408993619	12.786283859813913	6.8791812928116585	10.039084070866245	0.0	0.0	0.0	0.0
153	0	-1	-1	0	S3_LOC_4_4_helicopter_1	3`	4	0.68	0.79	0.10999999999999999	0.25	0.011427659735200749	59.18042344793452	0.0	0.0	0.0	0.0	0.0	0.0	44.345544821042836	49.087255747346134	37.599396942652994	1.6603773584905657	1.2987012987012987	1.3309358450360906	-0.016959071344137322	-4.993238553864707	-104.0	-104.0	-104.0	-80.4	0.1509433962264144	0.17855121567227794	0.10389610389610371	-4.801859453600649	-0.011067181408993619	-12.786283859813913	-6.8791812928116585	-10.039084070866245	0.0	0.0	0.0	0.0	0.6603773584905659	0.4862412560588556	0.2987012987012987	-4.898642716713303	-0.016959071344137322	-12.083999382317124	-3.7326076716706353	-7.627694150793346	-52.96328728380885	-51.90318036589021	-21.5	-40.087532749147925
154	0	-1	-1	0	S3_LOC_3_2_potatoe_1	V	3	0.07	0.1	0.03	0.08	0.020404042865884597	61.733096492189766	0.0	0.0	0.0	0.0	0.0	0.0	46.7341025748587	48.518385361039186	43.724938490943295	0.41860465116279066	0.48979591836734687	0.6745683130621483	-0.007270879128670606	3.7679996968955365	-86.0	-86.0	-86.0	-77.1	-0.5813953488372093	-0.2014490176482744	-0.510204081632653	-2.8768092502645954	-0.007270879128670603	-1.075278754853052	-2.6646221834197377	-9.883397018922572	-29.0	-28.666666666666664	-28.666666666666664	-25.73333333333334	-0.4883720930232558	0.024546145955065768	-1.1020408163265305	-6.266903507810234	-0.02667410390310914	-0.8551169809277681	-6.522692392615959	-20.271772356970253	-87.0	-86.0	-86.0	-77.2
155	1	0	0	1	S3_LOC_3_2_potatoe_1	eI	3	0.2760430839002268	0.3410430839002268	0.065	0.26	0.04707814676899374	68.0	0.0	87.0	86.0	0.0	77.2	86.0	47.58921955578647	55.041077753655145	63.99671084791355	0.9069767441860465	1.5918367346938773	0.6500221671070825	0.019403224774438534	10.03490320470577	1.0	0.0	0.0	0.10000000000000853	0.4883720930232558	-0.024546145955065768	1.1020408163265305	6.266903507810234	0.02667410390310914	0.8551169809277681	6.522692392615959	20.271772356970253	87.0	86.0	86.0	77.2	-0.7674418604651162	-0.6534393448549545	0.6734693877551018	3.9033792648266825	0.03153557042020647	-1.515602302703627	5.05151823497269	10.893353657172781	87.0	86.0	86.0	77.2
